FRET Efficiency,Stoichiometry,Proximity Ratio,Stoichiometry (raw),Lifetime D [ns],Lifetime A [ns],Anisotropy D,Anisotropy A,|TDX-TAA| Filter,ALEX 2CDE Filter,|TDD-TDA| Filter,FRET 2CDE Filter,Duration [ms],Mean Macrotime [s],Number of Photons,Count rate [kHz],Count rate (DD) [kHz],Count rate (DA) [kHz],Count rate (AA) [kHz],Count rate (DD par) [kHz],Count rate (DD perp) [kHz],Count rate (DA par) [kHz],Count rate (DA perp) [kHz],Count rate (AA par) [kHz],Count rate (AA perp) [kHz],Number of Photons (DD),Number of Photons (DA),Number of Photons (AA),Number of Photons (DD par),Number of Photons (DD perp),Number of Photons (DA par),Number of Photons (DA perp),Number of Photons (AA par),Number of Photons (AA perp),log(FD/FA),M1-M2,Number of Photons (DX),Count rate (DX) [kHz],Distance (from intensity) [A],FRET efficiency (from lifetime),Distance (from lifetime) [A],FRET efficiency (sens. Acc. Em.)
0.74382,0.49661,0.68376,0.5367,0,0,-0.27386,0.053139,0.097363,3.5828,0.0041134,9.1249,1.8315,21.743,218,119.03,21.59,45.625,56.06,7.4914,15.171,32.389,15.054,38.403,20.403,37,80,101,11,26,54,26,65,36,-1.0659,0.25618,117,63.882,58.607,1,0,0.44259
0.49803,0.63149,0.43611,0.68053,0,0,-0.18984,0.2312,0.10299,6.3357,0.35769,17.594,4.0725,23.608,529,129.89,49.846,40.325,43.538,22.4,30.939,25.838,16.756,32.461,11.234,203,157,169,77,126,95,62,126,43,0.0078707,0.50197,360,88.397,70.092,1,0,0.51476
0.36152,0.44418,0.33333,0.5178,0,0,-0.19109,0.058005,0.10568,4.5091,0.52494,42.931,6.5358,25.875,927,141.83,54.476,26.51,68.392,22.019,33.877,16.9,10.107,44.218,25.853,320,160,447,121,199,102,58,289,158,0.56879,0.63848,480,73.441,76.961,1,0,0.17425
0.83923,0.52517,0.76923,0.56034,0,0,-0.3142,0.026062,0.016975,9.6822,0.20214,10.952,2.4445,26.458,116,47.454,7.1833,20.454,24.854,2.8942,5.2677,12.682,8.7795,15.595,9.7607,15,50,51,4,11,31,19,32,19,-1.6525,0.16077,65,26.591,53.148,1,0,0.55983
0.46717,0.62781,0.40506,0.68103,0,0,-0.16092,0.037124,0.03225,9.1641,0.01889,9.9266,3.93,28.133,232,59.033,23.919,19.053,21.037,11.168,14.64,12.896,6.8566,13.361,10.246,94,64,74,38,56,41,23,47,27,0.1315,0.53283,158,40.204,71.551,1,0,0.47529
0.086639,0.69006,0.10292,0.75714,0,0,-0.16547,0.18387,0.53842,8.1628,1.0086,13.054,12.113,28.717,770,63.569,43.334,5.0153,15.628,17.786,25.934,3.7615,1.3206,11.282,4.5562,523,60,187,210,313,45,15,135,52,2.3554,0.91336,583,48.131,103.65,1,0,0.11634
0.15939,0.50971,0.17052,0.59655,0,0,-0.16984,0.088256,0.20266,7.2487,0.14526,10.993,8.2927,28.747,580,69.941,34.609,7.8977,30.55,14.49,20.862,5.756,3.2496,21.993,10.801,287,59,234,114,173,43,16,156,78,1.6627,0.84061,346,41.724,92.353,1,0,0.099946
0.14105,0.4939,0.15759,0.5807,0,0,-0.22363,-0.0001812,0.19663,4.4995,0.010987,8.375,4.1685,29.876,601,144.18,77.626,17.203,60.735,31.55,50.695,10.568,11.118,37.257,24.307,294,55,252,102,192,26,29,153,99,1.8066,0.85895,349,83.723,94.594,1,0,0.083026
0.22878,0.58998,0.21399,0.66393,0,0,-0.22497,0.12841,0.21247,9.1028,0.14957,9.5105,6.11,29.896,366,59.902,31.26,8.8317,21.126,11.556,20.458,6.8197,2.8873,14.599,8.3627,191,52,123,66,125,35,17,85,38,1.2152,0.77122,243,39.771,85.715,1,0,0.19855
0.14969,0.52071,0.16049,0.60448,0,0,-0.15504,0.022147,0.0026015,3.138,0.15969,19.221,0.8013,29.901,134,167.23,85.916,30.106,76.24,38.518,50.539,27.79,Inf,47.47,45.079,68,13,53,28,40,12,1,33,20,1.737,0.85031,81,101.09,93.503,1,0,0.09809
