time_ns,intensity,fit,wres
0.00977,18,NaN,NaN
0.01954,225,NaN,NaN
0.02931,1686,NaN,NaN
0.03908,5472,NaN,NaN
0.04885,9270,NaN,NaN
0.05862,10428,NaN,NaN
0.06839,10776,NaN,NaN
0.07816,10515,NaN,NaN
0.08793,10581,NaN,NaN
0.0977,10488,NaN,NaN
0.10747,10398,NaN,NaN
0.11724,9801,NaN,NaN
0.12701,10044,NaN,NaN
0.13678,10047,NaN,NaN
0.14655,9924,NaN,NaN
0.15632,9987,NaN,NaN
0.16609,9780,NaN,NaN
0.17586,9399,NaN,NaN
0.18563,9678,NaN,NaN
0.1954,9819,NaN,NaN
0.20517,9387,NaN,NaN
0.21494,9237,NaN,NaN
0.22471,9438,NaN,NaN
0.23448,9402,NaN,NaN
0.24425,9165,NaN,NaN
0.24425,9165,5997.25502710852,33.089025402746
0.25402,9411,6182.25954404205,33.2824469709227
0.26379,9156,6356.61629063271,29.2556356701678
0.27356,9063,6526.53342708697,26.6436152344261
0.28333,8793,6682.84803614114,22.5032474515004
0.2931,8730,6833.24999448347,20.3003241258268
0.30287,8466,6975.49607886496,16.1992157945964
0.31264,8475,7108.76338731335,14.8407574083584
0.32241,8649,7230.64841732862,15.251092286789
0.33218,8388,7346.35713102946,11.373382210189
0.34195,8433,7452.02337399393,10.6823698265923
0.35172,8352,7550.86152701729,8.76621959283702
0.36149,8139,7639.94098275973,5.53179888953602
0.37126,8160,7722.15055681686,4.84707480635543
0.38103,8088,7797.5662129033,3.22943513967706
0.3908,8022,7863.54072278232,1.76919760106856
0.40057,7842,7922.39473206572,-0.907850157336729
0.41034,7737,7978.72161794452,-2.74807887780538
0.42011,7812,8025.77858088362,-2.41870594727263
0.42988,7737,8065.20905940315,-3.73133520832698
0.43965,7629,8097.8560638192,-5.36791623009354
0.44942,7839,8126.34002776229,-3.245381806284
0.45919,7599,8150.16356648345,-6.32269568488129
0.46896,7698,8162.30707700214,-5.29195752679012
0.47873,7335,8173.59754236941,-9.79159690141275
0.4885,7164,8178.68997523147,-11.9882442058661
0.49827,7149,8176.37001808111,-12.1507822739439
0.50804,7485,8173.08342672083,-7.95326027372925
0.51781,6993,8162.8085326508,-13.988882447386
0.52758,7053,8148.92798066366,-13.0495361055768
0.53735,6885,8131.30197959104,-15.0200477229435
0.54712,7194,8109.63830409225,-10.7953999197543
0.55689,7110,8085.95611806334,-11.574320139547
0.56666,6810,8057.47966471003,-15.1168017980919
0.57643,6804,8027.77921048319,-14.8361398570172
0.5862,6876,7994.97429139354,-13.4943563537908
0.59597,6747,7959.35215191835,-14.7595607390257
0.60574,6690,7921.38072835981,-15.054949169481
0.61551,6810,7881.31306735322,-12.9820371113216
0.62528,6480,7839.74277624352,-16.8915404421933
0.63505,6549,7795.89108723932,-15.4078139399207
0.64482,6480,7749.36232533325,-15.768780264013
0.65459,6342,7701.64168350885,-17.0730594170435
0.66436,6465,7652.20967941077,-14.7653302188353
0.67413,6399,7601.50879829984,-15.0325344413805
0.6839,6330,7550.29284615186,-15.3377696225229
0.69367,6159,7497.90048012419,-17.0605565743861
0.70344,5928,7444.38337944005,-19.6949516120677
0.71321,5895,7390.81913525045,-19.4821633279207
0.72298,6390,7336.33742509295,-11.838470234172
0.73275,5922,7281.40332681669,-17.6650197324534
0.74252,5601,7226.01686491757,-21.7132626746985
0.75229,5961,7170.42431243302,-15.6645936631774
0.76206,5703,7114.2846971569,-18.6880052149627
0.77183,5652,7057.86088193746,-18.6999855210062
0.7816,5685,7001.14944737365,-17.4558085975569
0.79137,5892,6944.69663125382,-13.7142437479158
0.80114,5493,6888.12783907152,-18.8238825926651
0.81091,5568,6831.47954699688,-16.9324032480817
0.82068,5679,6775.04204025965,-14.5442482289239
0.83045,5436,6718.54161302843,-17.3952927096048
0.84022,5706,6662.01821650417,-12.6561112578475
0.84999,5529,6606.18518837467,-14.4866203296515
0.85976,5409,6550.07906347421,-15.5151952849135
0.86953,5169,6494.73450985565,-18.439676402251
0.8793,5235,6439.40019729638,-16.6460990680374
0.88907,5529,6384.28091501457,-11.5023210723015
0.89884,5010,6329.71952686398,-18.6450168305634
